date,close,high,low,volume
1999-04-16,69.5,69.88,68.19,1265500.0
1999-04-19,68.0,69.81,67.0,1458600.0
1999-04-20,66.63,68.94,66.38,1133200.0
1999-04-21,66.69,67.63,66.13,539600.0
1999-04-22,68.75,68.88,65.69,928000.0
1999-04-23,69.0,69.25,68.5,991500.0
1999-04-26,68.63,68.94,68.25,553900.0
1999-04-27,70.0,70.31,68.75,2852000.0
1999-04-28,72.0,72.88,70.19,2289000.0
1999-04-29,74.0,74.06,71.56,1316600.0
1999-04-30,75.25,75.69,73.25,2712000.0
1999-05-03,75.69,76.38,74.25,1173100.0
1999-05-04,76.19,76.75,74.94,1024700.0
1999-05-05,76.94,77.0,74.19,1413400.0
1999-05-06,76.0,76.88,75.38,893900.0
1999-05-07,76.25,76.44,75.69,1033500.0
1999-05-10,75.19,76.13,74.06,705500.0
1999-05-11,75.13,75.63,73.63,1419700.0
1999-05-12,74.5,75.13,73.0,1101600.0
1999-05-13,74.56,76.13,74.19,807200.0
1999-05-14,72.75,74.31,72.5,1077000.0
1999-05-17,73.5,74.25,71.94,611600.0
1999-05-18,72.56,73.56,72.38,565700.0
1999-05-19,73.0,73.94,72.75,567700.0
1999-05-20,74.06,74.94,73.5,1441300.0
1999-05-21,73.31,74.5,73.19,1050400.0
1999-05-24,72.13,74.31,72.13,741500.0
1999-05-25,72.88,74.06,72.38,1553400.0
1999-05-26,73.0,73.38,71.0,1249400.0
1999-05-27,70.5,72.75,70.44,1115800.0
1999-05-28,71.38,71.75,70.5,1063100.0
1999-06-01,72.5,72.5,71.56,1233000.0
1999-06-02,74.88,76.5,72.38,1787000.0
1999-06-03,76.44,76.88,74.81,870000.0
1999-06-04,78.94,78.94,76.19,998600.0
1999-06-07,77.94,78.38,77.5,1469700.0
1999-06-08,77.31,78.38,77.06,476300.0
1999-06-09,78.31,78.81,77.13,1118100.0
1999-06-10,78.56,79.44,76.0,1025000.0
1999-06-11,80.88,81.38,79.0,2092000.0
1999-06-14,82.19,82.94,81.25,1572300.0
1999-06-15,79.44,82.25,79.25,1471400.0
1999-06-16,78.38,79.94,78.19,1608400.0
1999-06-17,79.19,79.44,78.0,699100.0
1999-06-18,77.88,79.19,77.69,1054100.0
1999-06-21,76.63,78.0,76.5,902100.0
1999-06-22,77.0,77.81,75.88,802900.0
1999-06-23,77.31,77.56,76.25,760900.0
1999-06-24,77.25,77.5,75.94,1010700.0
1999-06-25,77.0,77.69,76.56,964500.0
1999-06-28,79.44,79.5,77.63,1312500.0
1999-06-29,81.19,81.19,78.19,1091100.0
1999-06-30,81.75,81.75,79.19,1498500.0
1999-07-01,81.13,81.38,80.0,1072800.0
1999-07-02,81.25,81.94,80.0,927400.0
1999-07-06,83.88,84.19,81.13,1862000.0
1999-07-07,83.63,83.81,83.0,1602100.0
1999-07-08,84.5,84.94,83.5,1342100.0
1999-07-09,86.38,86.5,84.75,1696000.0
1999-07-12,85.13,86.94,85.0,823800.0
1999-07-13,84.0,85.0,83.0,1726000.0
1999-07-14,82.56,84.5,82.38,1027400.0
1999-07-15,81.94,82.81,81.63,2027000.0
1999-07-16,84.0,84.63,81.94,2738000.0
1999-07-19,85.31,85.94,83.75,734900.0
1999-07-20,85.56,86.69,84.13,1130900.0
1999-07-21,85.25,85.81,84.63,1072500.0
1999-07-22,83.88,85.5,83.56,995200.0
1999-07-23,83.88,84.63,83.88,829700.0
1999-07-26,83.94,84.63,83.88,602800.0
1999-07-27,83.81,84.44,83.38,667400.0
1999-07-28,84.0,84.19,83.19,563500.0
1999-07-29,84.06,84.5,83.38,750200.0
1999-07-30,85.19,85.19,84.13,714600.0
1999-08-02,84.06,85.63,83.88,935500.0
1999-08-03,84.25,84.69,83.38,704000.0
1999-08-04,84.75,85.75,84.0,776100.0
1999-08-05,85.44,85.75,84.38,835000.0
1999-08-06,86.81,86.88,84.75,604800.0
1999-08-09,88.13,89.0,86.25,838900.0
1999-08-10,88.56,89.44,87.75,838700.0
1999-08-11,88.03,88.56,86.5,785800.0
1999-08-12,86.0,87.63,86.0,583400.0
1999-08-13,87.69,87.75,85.19,595400.0
1999-08-16,43.88,44.69,43.44,866100.0
1999-08-17,44.31,44.56,43.5,809500.0
1999-08-18,43.69,44.56,43.31,1003800.0
1999-08-19,43.75,43.88,42.94,923200.0
1999-08-20,43.94,44.19,43.25,1244700.0
1999-08-23,44.25,44.5,43.88,1444000.0
1999-08-24,43.88,44.63,43.31,1486700.0
1999-08-25,43.13,43.88,42.31,1881000.0
1999-08-26,42.06,43.44,41.0,3174000.0
1999-08-27,42.38,42.69,41.88,1361100.0
1999-08-30,41.25,42.81,41.0,1355800.0
1999-08-31,41.88,42.44,41.0,1722000.0
1999-09-01,41.31,42.31,40.56,1405900.0
1999-09-02,40.19,41.06,39.0,1389500.0
1999-09-03,41.5,41.63,40.69,1540300.0
1999-09-07,41.38,42.38,41.0,1630100.0
1999-09-08,40.44,41.25,40.13,1783000.0
1999-09-09,42.25,42.88,40.31,1823000.0
1999-09-10,42.81,43.25,42.5,1308500.0
1999-09-13,41.94,42.56,41.69,785900.0
1999-09-14,41.94,42.13,41.13,1007000.0
1999-09-15,41.63,42.56,41.25,1156400.0
1999-09-16,41.69,41.94,40.38,980200.0
1999-09-17,42.25,42.25,41.0,1516800.0
1999-09-20,41.25,42.25,40.13,1442800.0
1999-09-21,39.5,41.0,38.31,2158000.0
1999-09-22,39.5,40.5,39.13,2121000.0
1999-09-23,39.0,39.5,38.13,2245000.0
1999-09-24,39.81,39.94,38.13,2020000.0
1999-09-27,38.88,39.81,38.75,1213800.0
1999-09-28,39.25,39.44,38.06,1767000.0
1999-09-29,39.5,40.94,39.31,862000.0
1999-09-30,41.06,41.38,39.75,1126300.0
1999-10-01,40.94,41.63,40.25,1154700.0
1999-10-04,40.19,40.56,39.25,1478500.0
1999-10-05,40.0,41.06,39.38,1680000.0
1999-10-06,38.38,40.25,37.94,2364000.0
1999-10-07,37.0,38.44,36.81,3054000.0
